2130100,The Blair Witch Project,Horror,600000,107760901,1999-07-14
2140100,Deep Impact,Adventure,80000000,209000000,1998-05-08
2150100,Rush Hour 3,Action,180000000,116459914,2007-08-10
2170100,Stuart Little,Adventure,105000000,158800000,1999-12-17
2180100,The Rocky Horror Picture Show,Musical,1200000,935128,1975-09-26
2200100,Saturday Night Fever,Drama,0,142913876,1977-12-16
2210100,The Matrix Revolutions,Action,150000000,288029350,2003-11-05
2220100,The Santa Clause 2,Adventure,65000000,33600000,2002-11-01
2230100,Cheaper by the Dozen,Comedy,40000000,51597569,2003-12-25
2240100,Bad Boys II,Action,130000000,134731112,2003-07-18
2250100,Good Will Hunting,Drama,10000000,87492554,1997-12-05
2260100,Platoon,Drama,6000000,15067,1986-12-19
2270100,Dinosaur,Adventure,127500000,218400000,2000-05-19
2280100,Click,Comedy,82500000,100329456,2006-06-23
2290100,The Green Mile,Drama,60000000,153900000,1999-12-10
2300100,Ransom,Action,70000000,172207319,1996-11-08
2310100,Godzilla,Action,125000000,239685706,1998-05-19
2320100,101 Dalmatians,Adventure,0,168010706,1996-11-27
2330100,Anger Management,Comedy,56000000,59923610,2003-04-11
2340100,Chicken Little,Adventure,150000000,174657158,2005-11-04
2350100,Teenage Mutant Ninja Turtles,Adventure,13500000,66734085,1990-03-30
2360100,Patch Adams,Comedy,50000000,67158032,1998-12-25
2370100,The Godfather,Drama,7000000,133533589,1972-03-15
2380100,The Incredible Hulk,Adventure,137500000,130766946,2008-06-13
2390100,Live Free or Die Hard,Action,110000000,247758744,2007-06-27
2400100,Wanted,Action,75000000,207907909,2008-06-27
2410100,Superman,Adventure,55000000,165981982,1978-12-15
2430100,Mission: Impossible III,Action,150000000,265886397,2006-05-05
2440100,Angels & Demons,Thriller/Suspense,150000000,357500000,2009-05-15
2450100,The Departed,Drama,90000000,157276304,2006-10-06
2460100,Troy,Action,150000000,349853463,2004-05-13
2470100,Bringing Down the House,Comedy,20000000,32000000,2003-03-07
2480100,Hulk,Action,137000000,112854445,2003-06-20
2490100,Minority Report,Action,102000000,226800000,2002-06-21
2500100,Fantastic Four: Rise of the Silver Surfer,Action,120000000,157558953,2007-06-15
2510100,Lara Croft: Tomb Raider,Adventure,94000000,142186002,2001-06-15
2520100,The Silence of the Lambs,Horror,20000000,145000000,1991-02-14
2530100,"Honey, I Shrunk the Kids",Adventure,0,91975828,1989-06-23
2550100,Lethal Weapon 4,Action,140000000,154955397,1998-07-10
2560100,Get Smart,Comedy,80000000,96420208,2008-06-20
2600100,The Ring,Horror,48000000,119124462,2002-10-18
2620100,Borat,Comedy,18000000,132937284,2006-11-03
2630100,Robots,Adventure,80000000,132436259,2005-03-11
2650100,"Crouching Tiger, Hidden Dragon",Action,15000000,85446864,2000-12-08
2660100,Rocky IV,Drama,0,172500000,1985-11-27
2670100,Enchanted,Romantic Comedy,85000000,212677264,2007-11-21
2680100,The Curious Case of Benjamin Button,Drama,160000000,202122632,2008-12-25
2690100,Sweet Home Alabama,Comedy,38000000,55151042,2002-09-27
2700100,Dumb & Dumber,Comedy,16000000,119224626,1994-12-16
2720100,The World is Not Enough,Action,135000000,234800000,1999-11-19
2730100,My Best Friend's Wedding,Comedy,46000000,172110266,1997-06-20
2750100,Sleepless in Seattle,Romantic Comedy,0,101218442,1993-06-25
2760100,Bee Movie,Adventure,150000000,160963300,2007-11-02
2770100,Mr. Deeds,Comedy,50000000,44976083,2002-06-28
2790100,The Truman Show,Drama,60000000,138500000,1998-06-05
2800100,Erin Brockovich,Drama,50000000,132256558,2000-03-17
2810100,Ocean's Twelve,Adventure,110000000,237457442,2004-12-10
2820100,Terminator Salvation,Action,200000000,240169323,2009-05-21
2830100,Charlie's Angels,Action,90000000,134430545,2000-11-03
2840100,Tomorrow Never Dies,Action,110000000,214200000,1997-12-19
2850100,Rocky III,Action,0,4365,1982-05-28
2860100,The Devil Wears Prada,Comedy,35000000,201332695,2006-06-30
2870100,Something's Gotta Give,Romantic Comedy,80000000,142000000,2003-12-12
2880100,Traffic,Drama,48000000,84192524,2000-12-27
2900100,City Slickers,Comedy,0,81,1991-06-07
2920100,Nutty Professor II: The Klumps,Comedy,84000000,43000000,2000-07-28
2940100,The Bodyguard,Thriller/Suspense,25000000,289000000,1992-11-25
2950100,Wayne's World,Comedy,20000000,61400000,1992-02-14
2960100,The Bourne Identity,Thriller/Suspense,60000000,92888411,2002-06-14
2970100,Superbad,Comedy,17500000,48491916,2007-08-17
2980100,Speed,Action,30000000,161951855,1994-06-10
2990100,50 First Dates,Romantic Comedy,75000000,75543497,2004-02-13
3000100,The Hunt for Red October,Thriller/Suspense,30000000,79790134,1990-03-02
3010100,Mulan,Adventure,90000000,182879746,1998-06-19
3020100,Seabiscuit,Drama,86000000,28437488,2003-07-25
3030100,Van Helsing,Action,170000000,180000000,2004-05-05
