"movie_odid","display_name","franchise"
"15570100","Vegas Vacation","National Lampoon"
"15620100","Death Race","Death Race"
"15810100","Mortal Kombat: Annihilation","Mortal Kombat"
"15820100","The Pink Panther 2","Pink Panther"
"15940100","Jeepers Creepers 2","Jeepers Creepers"
"15990100","Cloudy with a Chance of Meatballs","Cloudy with a Chance of Meatballs"
"16010100","Live and Let Die","James Bond"
"16090100","The Flintstones in Viva Rock Vegas","Flintstones"
"16150100","Star Wars: The Clone Wars","Star Wars"
"16380100","Licence to Kill","James Bond"
"16660100","The Best Man","The Best Man"
"16810100","The Punisher","Punisher"
"16970100","Planet of the Apes","Planet of the Apes"
"17000100","Mr. Bean’s Holiday","Bean"
"17040100","Friday After Next","Friday"
"17140100","Dracula 2000","Dracula 2000"
"17200100","Friday the 13th Part IV: The Final Chapter","Friday the 13th"
"17260100","The Bad News Bears","Bad News Bears"
"17390100","Blade Runner","Blade Runner"
"17530100","Bride of Chucky","Child's Play"
"17600100","The Lost Boys","Lost Boys"
"17630100","Analyze That","Analyze This"
"17770100","Psycho","Psycho"
"17790100","An American Werewolf in London","American Werewolf"
"17880100","Lake Placid","Lake Placid"
"17930100","Transporter 3","Transporter"
"17940100","Quarantine","Quarantine"
"18060100","Anacondas: The Hunt for the Blood Orchid","Anaconda"
"18100100","Halloween 2","Halloween"
"18240100","Johnson Family Vacation","Johnson Family"
"18430100","Home Alone III","Home Alone"
"18460100","Dogma","View Askewniverse"
"18520100","Open Water","Open Water"
"18610100","Honey","Honey"
"18620100","Halloween: Resurrection","Halloween"
"18680100","The Art of War","The Art of War"
"18730100","Space Chimps","Space Chimps"
"18750100","Elizabeth","Elizabeth"
"18790100","Jay and Silent Bob Strike Back","View Askewniverse"
"18980100","Wild Things","Wild Things"
"19300100","The Guns of Navarone","Guns of Navarone"
"19560100","Garfield: A Tail of Two Kitties","Garfield"
"19770100","Zathura","Jumanji"
"19780100","Johnny English","Johnny English"
"19850100","Crank","Crank"
"19920100","Hannibal Rising","Hannibal Lecter"
"20080100","The Muppet Christmas Carol","Muppets"
"20130100","Baby Geniuses","Baby Geniuses"
"20180100","Joe Dirt","Joe Dirt"
"20330100","XXX: State of the Union","xXx"
"20480100","The Texas Chainsaw Massacre","Texas Chainsaw Massacre"
"20490100","An American Werewolf in Paris","American Werewolf"
"20560100","Book of Shadows: Blair Witch 2","Blair Witch Project"
"20700100","Dumb and Dumberer: When Harry Met Lloyd","Dumb and Dumber"
"20730100","The Wizard of Oz","Wizard of Oz"
"20900100","Carrie","Carrie"
"21060100","Crocodile Dundee in Los Angeles","Crocodile Dundee"
"21090100","Jonah: A VeggieTales Movie","VeggieTales"
"21100100","Candyman","Candyman"
"21190100","Mimic","Mimic"
"21200100","A Nightmare on Elm Street","Nightmare on Elm Street"
"21350100","The Transporter","Transporter"
"21390100","Escape from New York","Escape from New York"
"21690100","Never Back Down","Never Back Down"
"21710100","From Russia With Love","James Bond"
"21820100","Air Bud","Air Bud"
"21840100","Mad Max 2: The Road Warrior","Mad Max"
"22140100","Clerks II","Clerks"
"22140100","Clerks II","View Askewniverse"
"22150100","An Inconvenient Truth","An Inconvenient Truth"
"22230100","Around the World in 80 Days","Around the World in 80 Days"
"22440100","Hot Fuzz","Three Flavours Cornetto Trilogy"
"22730100","Chinatown","Chinatown"
"22760100","Piglet's Big Movie","Winnie the Pooh"
"22890100","D3: The Mighty Ducks","Mighty Ducks"
"22990100","On Her Majesty's Secret Service","James Bond"
"23060100","Casino Royale","James Bond"
"23370100","Deuce Bigalow: European Gigolo","Deuce Bigelow"
"23640100","Joy Ride","Joy Ride"
"24000100","Urban Legends: Final Cut","Urban Legend"
"24110100","Die Unendliche Geschichte","NeverEnding Story"
"24280100","Cabin Fever","Cabin Fever"
"24430100","National Lampoon’s Van Wilder","Van Wilder"
"24430100","National Lampoon’s Van Wilder","National Lampoon"
"24440100","Flicka","Flicka"
"24500100","The X-Files: I Want to Believe","X-Files"
"24580100","The Hills Have Eyes II","Hills Have Eyes"
"24650100","George A. Romero's Land of the Dead","George A. Romero's Dead Series"
"24970100","Pulse","Pulse"
"25280100","Life of Brian","Monty Python"
"25970100","Species 2","Species"
"26110100","Vacancy","Vacancy"
"26270100","The Odd Couple II","Odd Couple"
"26360100","The Marine","The Marine"
"26680100","Super Troopers","Super Troopers"
"26760100","Babe: Pig in the City","Babe"
"26870100","Harold & Kumar Go to White Castle","Harold & Kumar"
"26970100","Pooh's Heffalump Movie","Winnie the Pooh"
"27250100","The Rage: Carrie 2","Carrie"
"27330100","Kit Kittredge: An American Girl","American Girl"
"27470100","Hostel: Part II","Hostel"
"27560100","The Big Lebowski","Big Lebowski"
"27850100","Center Stage","Center Stage"
"28050100","Pokemon 3: The Movie","Pokemon"
"28060100","The Devil's Rejects","House of 1,000 Corpses"
"28080100","Son of the Mask","Mask"
"28090100","Seed of Chucky","Child's Play"
"28620100","Trainspotting","Trainspotting"
"28780100","The Whole Ten Yards","Whole Nine Yards"
"28830100","Muppets From Space","Muppets"
"28880100","Elizabeth: The Golden Age","Elizabeth"
"28970100","Wolf Creek","Wolf Creek"
"29050100","Waiting...","Waiting"
"29150100","Dr. No","James Bond"
"29460100","Happily N'Ever After","Happily N'Ever After"
"29610100","Cirque du Soleil - Journey of Man","Cirque du Soleil"
"29890100","Wrong Turn","Wrong Turn"
"30080100","Dungeons and Dragons","Dungeons & Dragons"
"30130100","Arthur et les Minimoys","Arthur and the Minimoys"
"30250100","See No Evil","See No Evil"
"30820100","Hellraiser","Hellraiser"
"31400100","Dirty Dancing Havana Nights","Dirty Dancing"
"31460100","Blues Brothers 2000","Blues Brothers"
"31660100","Un homme et une femme","Un homme et une femme"
"31920100","The Thing","The Thing"
"32100100","Crank 2: High Voltage","Crank"
"32210100","Shaun of the Dead","Three Flavours Cornetto Trilogy"
"32280100","The Haunting of Molly Hartley","Molly Hartley"
"32540100","Daddy Day Camp","Daddy Day Care"
"32650100","Jason X","Friday the 13th"
"33030100","The Pirates Who Don't Do Anything: A VeggieTales Movie","VeggieTales"
"33150100","Gods and Generals","Gettysburg"
"33240100","Highlander: Endgame","Highlander"
"33320100","The Evening Star","Terms of Endearment"
"33450100","House of 1,000 Corpses","House of 1,000 Corpses"
"33470100","The Omega Code","Omega Code"
"33750100","Undisputed","Undisputed"
"34150100","Tom yum goong","Tom yum goong"
"34190100","Chasing Amy","View Askewniverse"
"34290100","Night of the Living Dead","George A. Romero's Dead Series"
