"movie_odid","display_name","release_odid","release_name","video_release_date","type","distributor"
"8190100","Saw IV","14590119","Saw IV","2008-01-22","Regular","Lionsgate Home Entertainment"
"8200100","The Holiday","6980119","The Holiday","2007-03-13","Regular","Sony Pictures Home Entertainment"
"8220100","Madea's Family Reunion","2870119","Madea's Family Reunion","2006-06-27","","Lionsgate Home Entertainment"
"8230100","The Final Destination","34100119","The Final Destination","2010-01-05","","New Line Home Video"
"8240100","Forgetting Sarah Marshall","20340119","Forgetting Sarah Marshall","2008-09-30","","Universal Home Entertainment"
"8280100","Jarhead","1730119","Jarhead","2006-03-07","Regular","Universal Home Entertainment"
"8290100","The Fast and the Furious: Tokyo Drift","3920119","Fast and the Furious, The: Tokyo Drift","2006-09-26","Regular","Universal Home Entertainment"
"8330100","Spy Game","27970119","Spy Game","2002-04-09","","Universal Home Entertainment"
"8340100","Underworld: Evolution","1910119","Underworld - Evolution","2006-06-06","","Sony Pictures Home Entertainment"
"8360100","Mouse Hunt","270210119","Mouse Hunt","2018-01-09","Regular","Paramount Home Video"
"8370100","Cinderella Man","1380119","Cinderella Man","2005-12-06","Regular","Universal Home Entertainment"
"8390100","The Goonies","11440119","The Goonies","2001-08-21","Regular","Warner Home Video"
"8410100","Stomp the Yard","8870119","Stomp the Yard","2007-05-15","","Sony Pictures Home Entertainment"
"8440100","The Cell","111100119","The Cell","2015-07-07","Regular","New Line Home Video"
"8450100","Friday Night Lights","14410119","Friday Night Lights","2005-01-18","Regular","Universal Home Entertainment"
"8460100","The Time Traveler’s Wife","34350119","The Time Traveler’s Wife","2010-02-09","Regular","New Line Home Video"
"8470100","Misery","42890119","Misery","2010-09-14","Regular","MGM Video"
"8480100","The Shaggy Dog","3410119","Shaggy Dog, The","2006-08-01","","Walt Disney Home Entertainment"
"8520100","Coyote Ugly","273710119","Coyote Ugly","2001-06-12","Regular","Walt Disney Home Entertainment"
"8530100","Poseidon","3060119","Poseidon","2006-08-22","","Warner Home Video"
"8540100","Three Kings","19850119","Three Kings","2000-04-11","Regular","Warner Home Video"
"8550100","Jingle All the Way","23050119","Jingle All the Way","1998-11-03","Regular","Fox Home Entertainment"
"8580100","Baby Mama","20310119","Baby Mama","2008-09-09","","Universal Home Entertainment"
"8610100","Burn After Reading","23360119","Burn After Reading","2008-12-23","Regular","Universal Home Entertainment"
"8640100","The Family Stone","2270119","Family Stone, The","2006-05-02","","Fox Home Entertainment"
"8650100","Bad Santa","264300119","Bad Santa","2004-06-22","Regular","Walt Disney Home Entertainment"
"8660100","Brüno","30650119","Brüno","2009-11-17","","Universal Home Entertainment"
"8720100","The Good Shepherd","6970119","Good Shepherd, The","2007-03-27","","Universal Home Entertainment"
"8730100","Little Miss Sunshine","5130119","Little Miss Sunshine","2006-12-19","Regular","Fox Home Entertainment"
"8740100","The Benchwarmers","1120119","Benchwarmers, The","2006-07-25","","Sony Pictures Home Entertainment"
"8750100","Predator","22280119","Predator","2000-12-26","Regular","Fox Home Entertainment"
"8760100","Hellboy","19790119","Hellboy","2004-06-21","","Sony Pictures Home Entertainment"
"8810100","Love Actually","6790119","Love Actually","2004-04-27","Regular","Universal Home Entertainment"
"8820100","Scrooged","144430119","Scrooged","2011-11-01","Regular","Warner Home Video"
"8840100","Dawn of the Dead","21810119","Dawn of the Dead","2004-10-26","Regular","Universal Home Entertainment"
"8860100","Surf's Up","10970119","Surf's Up","2007-10-09","","Sony Pictures Home Entertainment"
"8870100","Behind Enemy Lines","61460119","Behind Enemy Lines","2008-09-23","Regular","Fox Home Entertainment"
"8880100","Bride Wars","27550119","Bride Wars","2009-04-28","","Fox Home Entertainment"
"8900100","Curious George","3400119","Curious George","2006-09-26","","Universal Home Entertainment"
"8910100","Little Man","5190119","Little Man","2006-11-07","","Sony Pictures Home Entertainment"
"8950100","Funny Girl","80510119","Funny Girl","2013-04-30","Regular","Sony Pictures Home Entertainment"
"8960100","Death Becomes Her","129240119","Death Becomes Her","1998-01-20","Regular","Universal Home Entertainment"
"8970100","Anastasia","61290119","Anastasia","2008-11-11","Regular","Fox Home Entertainment"
"8980100","Open Range","268700119","Open Range","2006-06-15","Regular","Walt Disney Home Entertainment"
"8990100","Halloween","12300119","Halloween (2007)","2007-12-18","Regular","Weinstein Co./Genius"
"9010100","Ali","146240119","Ali","2002-01-01","Regular","Sony Pictures Home Entertainment"
"9040100","Step Up 2 the Streets","17640119","Step Up 2: The Streets","2008-07-15","","Walt Disney Home Entertainment"
"9060100","The Butterfly Effect","13250119","Butterfly Effect, The","2004-07-06","","New Line Home Video"
"9070100","Red Eye","860119","Red Eye","2006-01-10","Regular","Dreamworks Video"
"9100100","Invincible","5520119","Invincible (2006)","2006-12-19","Regular","Walt Disney Home Entertainment"
"9110100","The Chronicles of Riddick","25780119","Chronicles of Riddick, The","2004-11-16","","Universal Home Entertainment"
"9120100","La vita è bella","158710119","Life Is Beautiful","2011-04-26","Regular","Lionsgate Home Entertainment"
"9170100","Moulin Rouge","40300119","Moulin Rouge!","2003-01-14","Regular","Fox Home Entertainment"
"9180100","Blood Diamond","7570119","Blood Diamond","2007-03-20","","Warner Home Video"
"9220100","Willow","75360119","Willow","1994-07-06","Regular","Sony Pictures Home Entertainment"
"9230100","The Whole Nine Yards","222340119","The Whole Nine Yards","2000-07-18","Regular","Warner Home Video"
"9240100","The Blues Brothers","230090119","The Blues Brothers","1998-09-08","Regular","Universal Home Entertainment"
"9260100","Chariots of Fire","67610119","Chariots of Fire","1992-04-01","Regular","Warner Home Video"
"9310100","Annie","72050119","Annie","1992-12-07","Regular","Columbia Pictures Home Entertainment"
"9330100","Memoirs of a Geisha","1930119","Memoirs of a Geisha","2006-03-28","","Sony Pictures Home Entertainment"
"9340100","Beethoven","135430119","Beethoven","2009-04-28","Regular","Universal Home Entertainment"
"9350100","The Man in the Iron Mask","43570119","The Man in the Iron Mask","1999-01-19","Regular","MGM Video"
"9370100","Saw V","24200119","Saw V","2009-01-20","Regular","Lionsgate Home Entertainment"
"9440100","Clueless","64520119","Clueless","1996-05-28","Regular","Paramount Home Video"
"9460100","The Queen","8520119","The Queen","2007-04-24","Regular","Walt Disney Home Entertainment"
"9470100","Drumline","12040119","Drumline","2003-04-15","Regular","Fox Home Entertainment"
"9490100","Boyz n the Hood","204700119","Boyz n the Hood","1998-06-14","Regular","Sony Pictures Home Entertainment"
"9510100","White Noise","18600119","White Noise","2005-05-17","Regular","Universal Home Entertainment"
"9520100","A Knight’s Tale","26990119","A Knight’s Tale","2002-08-27","Regular","Sony Pictures Home Entertainment"
"9530100","The Big Chill","96990119","The Big Chill","2014-07-29","Regular","Criterion"
"9550100","Wallace & Gromit: The Curse of the Were-Rabbit","1020119","Wallace & Gromit: The Curse of the Were-Rabbit","2005-10-05","Regular","Dreamworks Video"
"9580100","Be Cool","18610119","Be Cool","2005-06-06","","MGM Video"
"9640100","Never Say Never Again","27380119","Never Say Never Again","2000-10-17","Regular","MGM Video"
"9650100","What Dreams May Come","27330119","What Dreams May Come","1999-05-25","","Polygram USA Video"
"9680100","The Haunting in Connecticut","28750119","The Haunting in Connecticut","2009-07-14","Regular","Lionsgate Home Entertainment"
"9680100","The Haunting in Connecticut","47710119","Haunting in Connecticut, The","2010-01-19","Regular","Lionsgate Home Entertainment"
"9690100","Ghosts of Girlfriends Past","30470119","Ghosts of Girlfriends Past","2009-09-22","","Warner Home Video"
"9700100","Why Did I Get Married?","12330119","Tyler Perry's Why Did I Get Married?","2008-02-12","Regular","Lionsgate Home Entertainment"
"9710100","Saw","1530119","Saw","2005-02-15","","Lionsgate Home Entertainment"
"9720100","Small Soldiers","269410119","Small Soldiers","2003-12-03","Regular","Dreamworks Video"
"9740100","The Guardian","6230119","The Guardian","2007-01-23","","Walt Disney Home Entertainment"
"9750100","Don’t Say a Word","20030119","Don’t Say a Word","2002-02-19","Regular","Fox Home Entertainment"
"9770100","The Jackal","51660119","The Jackal","1998-11-10","Regular","Universal Home Entertainment"
"9800100","Starship Troopers","18280119","Starship Troopers","1998-05-20","","Sony Pictures Home Entertainment"
"9820100","The Omen","4550119","Omen, The (2006)","2006-10-17","Regular","Fox Home Entertainment"
"9830100","Crash","1450119","Crash (2005)","2005-09-06","Regular","Lionsgate Home Entertainment"
"9870100","TMNT","10140119","TMNT","2007-08-07","","Warner Home Video"
"9880100","Final Destination 3","1130119","Final Destination 3","2006-07-25","","New Line Home Video"
"9910100","Edward Scissorhands","31410119","Edward Scissorhands","2000-09-05","Regular","Fox Home Entertainment"
"9970100","P.S. I Love You","16100119","P.S., I Love You","2008-05-06","","Warner Home Video"
"9990100","Jet Li's Hero","61490119","Hero","2009-09-15","Regular","Miramax Video"
"10060100","Yours, Mine and Ours","1690119","Yours, Mine & Ours","2006-02-28","Regular","Paramount Home Video"
"10070100","Corpse Bride","960119","Corpse Bride","2006-01-31","Regular","Warner Home Video"
"10100100","Papillon","185590119","Papillon","2005-05-31","Regular","Warner Home Video"
"10120100","The Prestige","6250119","Prestige, The","2007-02-20","","Walt Disney Home Entertainment"
"10140100","Blow","22290119","Blow","2001-09-11","Regular","New Line Home Video"
"10170100","Sweeney Todd: The Demon Barber of Fleet Street","15670119","Sweeney Todd - The Demon Barber of Fleet Street","2008-04-01","","Dreamworks Video"
"10180100","Varsity Blues","22780119","Varsity Blues","1999-05-31","Regular","Paramount Home Video"
"10190100","Message in a Bottle","31700119","Message in a Bottle","1999-08-03","Regular","Warner Home Video"
"10210100","Kicking and Screaming","18620119","Kicking and Screaming","2005-10-11","","Universal Home Entertainment"
"10260100","Four Weddings and a Funeral","197780119","Four Weddings and a Funeral","1999-09-07","Regular","MGM Video"
"10290100","The Strangers","22590119","Strangers, The","2008-10-21","Regular","Universal Home Entertainment"
"10310100","The Royal Tenenbaums","13640119","The Royal Tenenbaums","2002-07-09","","Walt Disney Home Entertainment"
"10320100","Radio","22770119","Radio","2004-01-27","Regular","Sony Pictures Home Entertainment"
"10330100","The Lake House","3870119","Lake House, The","2006-09-26","Regular","Warner Home Video"
"10360100","Stand by Me","168780119","Stand by Me","2000-08-29","Regular","Sony Pictures Home Entertainment"
"10400100","The Forbidden Kingdom","19440119","The Forbidden Kingdom","2008-09-09","Regular","Lionsgate Home Entertainment"
"10430100","Underworld","1400119","Underworld","2004-01-06","","Sony Pictures Home Entertainment"
"10440100","King Arthur","32310119","King Arthur","2004-12-21","","Walt Disney Home Entertainment"
"10450100","Funny People","31230119","Funny People","2009-11-24","","Universal Home Entertainment"
"10480100","Exit Wounds","19950119","Exit Wounds","2001-08-31","","Warner Home Video"
"10490100","Finding Neverland","4460119","Finding Neverland","2005-03-22","Regular","Miramax Video"
"10510100","My Bloody Valentine","28070119","My Bloody Valentine 3D","2009-05-19","Regular","Lionsgate Home Entertainment"
"10520100","A Cinderella Story","10530119","Cinderella Story, A","2004-10-19","Regular","Warner Home Video"
"10560100","Hoodwinked","2530119","Hoodwinked","2006-05-02","","Weinstein Co./Genius"
"10610100","The Phantom of the Opera","267440119","The Phantom of the Opera","2006-08-29","Regular","Warner Home Video"
"10620100","The Living Daylights","77720119","The Living Daylights","2013-02-12","Regular","Fox/MGM"
"10630100","Hide and Seek","18630119","Hide and Seek","2005-07-05","","Fox Home Entertainment"
"10640100","Goldfinger","259030119","Goldfinger","2006-06-27","Regular","MGM Video"
"10700100","The Hitchhiker's Guide to the Galaxy","18640119","Hitchhiker's Guide to the Galaxy, The","2005-09-13","","Walt Disney Home Entertainment"
"10710100","Atonement","15660119","Atonement","2008-03-18","Regular","Universal Home Entertainment"
"10730100","The Tale of Despereaux","25860119","The Tale of Despereaux","2009-04-07","","Universal Home Entertainment"
"10760100","Syriana","1290119","Syriana","2006-06-20","","Warner Home Video"
"10800100","Resident Evil: Apocalypse","230900119","Resident Evil: Apocalypse","2006-01-17","Regular","Sony Pictures Home Entertainment"
"10820100","The Hurricane","14390119","Hurricane, The","2000-07-11","","Universal Home Entertainment"
"10840100","Resident Evil: Extinction","12700119","Resident Evil - Extinction","2008-01-01","Regular","Sony Pictures Home Entertainment"
"10850100","The Crow","60010119","The Crow","1995-06-02","Regular","Walt Disney Home Entertainment"
"10900100","Music and Lyrics","8780119","Music and Lyrics","2007-05-08","","Warner Home Video"
"10920100","The Nightmare Before Christmas","18920119","The Nightmare Before Christmas","1997-12-03","Regular","Walt Disney Home Entertainment"
"10930100","Diary of a Mad Black Woman","13590119","Diary of a Mad Black Woman","2005-06-28","","Lionsgate Home Entertainment"
"10940100","A View to a Kill","77710119","A View to a Kill","2012-10-02","Regular","Fox Home Entertainment"
"10950100","K-PAX","50570119","K-PAX","2001-08-13","Regular","Universal Home Entertainment"
"10960100","Natural Born Killers","16900119","Natural Born Killers","2000-01-25","Regular","Lionsgate Home Entertainment"
"10970100","Serendipity","249840119","Serendipity","2011-04-26","Regular","Lionsgate Home Entertainment"
"11010100","Absolute Power","54220119","Absolute Power","1998-02-03","Regular","Warner Home Video"
"11020100","Evita","66810119","Evita","1998-02-03","Regular","Walt Disney Home Entertainment"
"11030100","Stigmata","111270119","Stigmata","2015-05-19","Regular","Shout Factory"
"11040100","Home on the Range","67340119","Home on the Range","2004-09-14","Regular","Walt Disney Home Entertainment"
"11100100","The Deer Hunter","228480119","The Deer Hunter","2012-03-06","Regular","Universal Home Entertainment"
"11160100","Racing Stripes","18650119","Racing Stripes","2005-05-10","","Warner Home Video"
"11190100","Australia","25280119","Australia","2009-03-03","","Fox Home Entertainment"
"11210100","Land of the Lost","31030119","Land of the Lost","2009-10-13","","Universal Home Entertainment"
"11260100","This Christmas","20930119","This Christmas","2008-11-11","","Sony Pictures Home Entertainment"
"11280100","My Sister’s Keeper","30750119","My Sister's Keeper","2009-11-17","Regular","Warner Home Video"
"11300100","Michael Clayton","12530119","Michael Clayton","2008-02-19","Regular","Warner Home Video"
"11330100","Firewall","2750119","Firewall","2006-06-06","","Warner Home Video"
"11340100","The Omen","19610119","Omen, The (1976)","2001-09-04","Regular","Fox Home Entertainment"
"11350100","Date Movie","3150119","Date Movie","2006-05-30","","Fox Home Entertainment"
"11360100","Miss Congeniality 2: Armed and Fabulous","18660119","Miss Congeniality 2: Armed and Fabulous","2005-06-21","","Warner Home Video"
"11370100","Peter Pan: Return to Neverland","23540119","Return to Never Land","2002-08-20","","Walt Disney Home Entertainment"
"11390100","Just Like Heaven","1030119","Just Like Heaven","2006-02-07","","Dreamworks Video"
"11400100","The Game","71330119","The Game","1998-03-31","Regular","Polygram USA Video"
"11410100","The House Bunny","23260119","House Bunny, The","2008-12-19","","Sony Pictures Home Entertainment"
"11450100","The Preacher’s Wife","62880119","The Preacher’s Wife","1997-11-04","Regular","Walt Disney Home Entertainment"
"11500100","Nim's Island","18330119","Nim's Island","2008-08-05","","Fox Home Entertainment"
"11560100","The Skeleton Key","18670119","Skeleton Key, The","2005-11-15","","Universal Home Entertainment"
"11570100","The Jungle Book 2","16290119","Jungle Book 2, The","2003-06-10","","Walt Disney Home Entertainment"
"11590100","When a Stranger Calls","2630119","When a Stranger Calls (2006)","2006-05-16","Regular","Sony Pictures Home Entertainment"
"11600100","Premonition","9890119","Premonition","2007-07-17","","Sony Pictures Home Entertainment"
"11630100","Dan in Real Life","12540119","Dan in Real Life","2008-03-11","","Walt Disney Home Entertainment"
"11640100","The Rundown","52000119","The Rundown","2004-03-23","Regular","Universal Home Entertainment"
"11690100","The Kingdom","11970119","Kingdom, The","2007-12-26","","Universal Home Entertainment"
"11700100","Kingdom of Heaven","2400119","Kingdom of Heaven","2005-10-11","Regular","Fox Home Entertainment"
"11720100","Munich","2300119","Munich","2006-05-09","","Universal Home Entertainment"
"11730100","Hostel","2100119","Hostel","2006-04-18","","Sony Pictures Home Entertainment"
"11750100","Nanny McPhee","2560119","Nanny Mcphee","2006-05-09","","Universal Home Entertainment"
"11760100","First Blood","19070119","First Blood","1998-10-21","","Live / Artisan"
"11780100","Kate and Leopold","63670119","Kate & Leopold","2002-06-11","Regular","Lionsgate Home Entertainment"
"11790100","Shooter","9230119","Shooter","2007-06-26","Regular","Paramount Home Video"
"11800100","Halloween","4620119","Halloween","1999-09-28","Regular","Anchor Bay Home Entertainment"
"11810100","Silent Hill","3070119","Silent Hill","2006-08-22","Regular","Sony Pictures Home Entertainment"
"11850100","Practical Magic","19810119","Practical Magic","1999-02-16","Regular","Warner Home Video"
"11870100","The Spy Who Loved Me","77690119","The Spy Who Loved Me","2013-02-12","Regular","Fox/MGM"
"11880100","Boogeyman","13850119","Boogeyman","2005-05-31","","Sony Pictures Home Entertainment"
"11890100","Goodfellas","20990119","Goodfellas","1997-03-26","Regular","Warner Home Video"
"11960100","Phone Booth","13670119","Phone Booth","2003-07-08","","Fox Home Entertainment"
"12000100","Romeo+Juliet","40320119","Romeo and Juliet (1996)","1996-11-10","Regular","Fox Home Entertainment"
"12030100","Walking Tall","43990119","Walking Tall","2004-09-28","Regular","MGM Video"
"12080100","Made of Honor","20330119","Made of Honor","2008-09-16","","Sony Pictures Home Entertainment"
"12130100","The Breakfast Club","50660119","The Breakfast Club","1992-03-01","Regular","Universal Home Entertainment"
"12140100","Underworld 3: Rise of the Lycans","28020119","Underworld: Rise of the Lycans","2009-05-12","","Sony Pictures Home Entertainment"
"12170100","College Road Trip","17630119","College Road Trip","2008-07-15","","Walt Disney Home Entertainment"
"12190100","The Legend of Zorro","970119","Legend of Zorro, The","2006-01-31","","Sony Pictures Home Entertainment"
"12200100","O Brother, Where Art Thou?","59250119","O Brother, Where Art Thou?","2001-06-12","","Walt Disney Home Entertainment"
"12270100","Zoolander","20040119","Zoolander","2002-03-12","","Paramount Home Video"
"12280100","28 Days Later…","13750119","28 Days Later…","2003-10-21","Regular","Fox Home Entertainment"
"12320100","Frequency","13260119","Frequency","2000-10-31","","New Line Home Video"
"12340100","Scarface","1890119","Scarface","1998-03-31","Regular","Universal Home Entertainment"
"12360100","Cop Land","101510119","Cop Land","2011-04-26","Regular","Lionsgate Miramax"
"12390100","Midnight Cowboy","177230119","Midnight Cowboy","2012-01-24","Regular","MGM Video"
"12400100","The Replacements","105670119","The Replacements","2000-11-28","Regular","Warner Home Video"
"12460100","Lost in Translation","13540119","Lost in Translation","2004-02-03","Regular","Universal Home Entertainment"
"12470100","Napoleon Dynamite","2610119","Napoleon Dynamite","2004-12-21","Regular","Fox Home Entertainment"
"12530100","Confessions of a Shopaholic","27230119","Confessions of a Shopaholic","2009-06-23","","Walt Disney Home Entertainment"
"12560100","The Sisterhood of the Traveling Pants 2","22330119","Sisterhood of the Traveling Pants 2","2008-11-18","","Warner Home Video"
"12580100","The Shining","21360119","The Shining","1999-06-29","Regular","Warner Home Video"
"12590100","The Last Emperor","150970119","The Last Emperor","2009-01-06","Regular","Criterion"
"12600100","Speed Racer","20320119","Speed Racer","2008-09-16","","Warner Home Video"
"12610100","The One","25330119","One, The","2002-03-05","","Sony Pictures Home Entertainment"
"12640100","Must Love Dogs","2010119","Must Love Dogs","2005-12-20","","Warner Home Video"
"12650100","Prom Night","19120119","Prom Night","2008-08-19","","Sony Pictures Home Entertainment"
"12670100","Diamonds Are Forever","77680119","Diamonds Are Forever","2013-02-12","Regular","Fox/MGM"
"12680100","License to Wed","11290119","License to Wed","2007-10-30","","Warner Home Video"
"12690100","Underdog","12290119","Underdog","2007-12-18","","Walt Disney Home Entertainment"
"12710100","West Side Story","4080119","West Side Story","2003-10-07","","MGM Video"
"12730100","Under the Tuscan Sun","80090119","Under the Tuscan Sun","2004-02-03","Regular","Walt Disney Home Entertainment"
"12750100","We Are Marshall","10730119","We Are Marshall","2007-09-18","","Warner Home Video"
"12790100","Year One","31020119","Year One","2009-10-06","","Sony Pictures Home Entertainment"
"12850100","No Reservations","15390119","No Reservations","2008-02-12","Regular","Warner Home Video"
"12860100","You Only Live Twice","73870119","You Only Live Twice","2000-10-17","Regular","MGM Video"
"12870100","The Transporter 2","850119","Transporter 2, The","2006-01-10","","Fox Home Entertainment"
"12880100","Reign of Fire","13730119","Reign of Fire","2002-02-19","","Walt Disney Home Entertainment"
"12930100","Rumor Has It","2580119","Rumor Has It","2006-05-09","","Warner Home Video"
"12960100","The Devil's Own","61790119","The The Devils Own","2008-09-16","Regular","Sony Pictures Home Entertainment"
"12970100","Rambo","18030119","Rambo","2008-05-27","Regular","Lionsgate Home Entertainment"
"12980100","The Lizzie McGuire Movie","10510119","Lizzie McGuire Movie, The","2003-08-12","","Walt Disney Home Entertainment"
"13000100","Because I Said So","8770119","Because I Said So","2007-05-08","","Universal Home Entertainment"
"13010100","The Unborn","29550119","The Unborn","2009-07-07","","Universal Home Entertainment"
"13030100","Glory Road","3180119","Glory Road","2006-06-06","","Walt Disney Home Entertainment"
"13060100","Deep Sea 3D","8760119","Deep Sea (IMAX)","2007-03-27","Regular","IMAX Video"
"13070100","Casino","50720119","Casino","2006-01-17","Regular","Universal Home Entertainment"
"13080100","Welcome Home Roscoe Jenkins","16920119","Welcome Home Roscoe Jenkins","2008-06-17","","Universal Home Entertainment"
"13130100","Bullitt","7370119","Bullitt","1997-11-19","","Warner Home Video"
"13140100","Lady in the Water","5710119","Lady in the Water","2006-12-19","","Warner Home Video"
"13190100","Drag Me To Hell","30780119","Drag Me to Hell","2009-10-13","Regular","Universal Home Entertainment"
"13200100","Fever Pitch","18680119","Fever Pitch","2005-09-13","","Fox Home Entertainment"
"13230100","Secondhand Lions","3000119","Secondhand Lions","2004-02-03","","New Line Home Video"
"13250100","Meet the Browns","17650119","Tyler Perry's Meet the Browns","2008-07-01","","Lionsgate Home Entertainment"
"13260100","Donnie Brasco","61620119","Donnie Brasco","1998-01-20","Regular","Sony Pictures Home Entertainment"
"13270100","Thirteen Ghosts","13780119","Thirteen Ghosts","2002-04-02","Regular","Warner Home Video"
"13280100","Nights in Rodanthe","24380119","Nights in Rodanthe","2009-02-10","","Warner Home Video"
"13340100","Aliens vs. Predator - Requiem","15500119","Aliens vs. Predator - Requiem","2008-04-15","","Fox Home Entertainment"
"13350100","The Hills Have Eyes","2790119","Hills Have Eyes, The","2006-06-20","","Fox Home Entertainment"
"13390100","Ronin","24130119","Ronin","1999-02-23","","MGM Video"
"13410100","High Crimes","29170119","High Crimes","2002-08-27","","Fox Home Entertainment"
"13480100","Orphan","30740119","Orphan","2009-10-27","","Warner Home Video"
"13500100","Gosford Park","191170119","Gosford Park","2002-06-25","Regular","Universal Home Entertainment"
"13520100","The Peacemaker","44990119","The Peacemaker","1998-09-01","Regular","Dreamworks Video"
"13530100","A Walk to Remember","31690119","A Walk to Remember","2002-07-09","","Warner Home Video"
"13540100","Private Parts","247030119","Private Parts","1998-12-15","Regular","Warner Home Video"
"13560100","Out of Time","43920119","Out of Time","2004-01-06","Regular","MGM Video"
"13570100","Money Talks","271180119","Money Talks","1998-08-04","Regular","New Line Home Video"
"13590100","John Tucker Must Die","5110119","John Tucker Must Die","2006-11-14","Regular","Fox Home Entertainment"
"13650100","Windtalkers","43980119","Windtalkers","2003-02-04","Regular","MGM Video"
"13680100","House on Haunted Hill","13800119","House on Haunted Hill","2000-04-18","","Warner Home Video"
"13690100","About a Boy","51460119","About a Boy","2003-06-03","Regular","Universal Home Entertainment"
"13720100","Max Payne","24180119","Max Payne","2009-01-20","","Fox Home Entertainment"
"13770100","Duplicity","28870119","Duplicity","2009-08-25","Regular","Universal Home Entertainment"
"13790100","Pretty in Pink","125150119","Pretty in Pink","2016-02-09","Online Only","Paramount Home Video"
"13800100","Stranger Than Fiction","7010119","Stranger Than Fiction","2007-02-27","","Sony Pictures Home Entertainment"
"13820100","The Water Horse: Legend of the Deep","15240119","The Water Horse: Legend of the Deep","2008-04-08","","Sony Pictures Home Entertainment"
"13860100","The Faculty","249830119","The Faculty","1999-06-22","Regular","Arts Alliance America Video"
"13880100","Hardball","14400119","Hardball","2002-02-12","","Paramount Home Video"
"13890100","There Will Be Blood","16000119","There Will Be Blood","2008-04-08","","Paramount Home Video"
"13910100","Catwoman","20200119","Catwoman","2005-01-18","","Warner Home Video"
"13960100","The Wild Thornberrys Movie","23530119","Wild Thornberrys Movie, The","2003-04-01","","Paramount Home Video"
"13980100","Righteous Kill","23870119","Righteous Kill","2009-01-06","","Anchor Bay Home Entertainment"
"14040100","I Still Know What You Did Last Summer","18230119","I Still Know What You Did Last Summer","1999-04-06","","Sony Pictures Home Entertainment"
"14060100","Bill & Ted’s Excellent Adventure","73930119","Bill and Ted’s Excellent Adventure","1993-04-14","Regular","Warner Home Video"
"14070100","The Illusionist","5490119","The Illusionist","2007-01-09","","Fox Home Entertainment"
"14090100","I Can Do Bad All By Myself","34290119","I Can Do Bad All By Myself","2010-01-12","","Lionsgate Home Entertainment"
"14110100","Friday the 13th","25990119","Friday the 13th","1999-10-19","Regular","Paramount Home Video"
"14120100","Epic Movie","8980119","Epic Movie","2007-05-22","","Fox Home Entertainment"
"14150100","Hitman","14130119","Hitman","2008-03-11","","Fox Home Entertainment"
"14160100","Jackie Brown","59710119","Jackie Brown","1999-02-02","","Miramax Video"
"14190100","Resident Evil","21800119","Resident Evil","2002-07-30","","Sony Pictures Home Entertainment"
"14200100","The Texas Chainsaw Massacre: The Beginning","5630119","Texas Chainsaw Massacre - The Beginning, The","2007-01-16","Regular","New Line Home Video"
"14220100","Little Nicky","262920119","Little Nicky","2001-04-24","Regular","New Line Home Video"
"14230100","Rugrats Go Wild","15020119","Rugrats Go Wild","2003-12-16","","Paramount Home Video"
"14240100","Body of Lies","24410119","Body of Lies","2009-02-17","","Warner Home Video"
"14270100","Hocus Pocus","4040119","Hocus Pocus","2002-06-04","Regular","Walt Disney Home Entertainment"
"14290100","Lakeview Terrace","23890119","Lakeview Terrace","2009-01-27","","Sony Pictures Home Entertainment"
"14300100","Anna and the King","101640119","Anna and the King","2003-02-04","Regular","Fox Home Entertainment"
"14320100","Pitch Black","21790119","Pitch Black","2000-10-24","Regular","Universal Home Entertainment"
"14360100","The Grudge 2","6740119","Grudge 2, The","2007-02-06","","Sony Pictures Home Entertainment"
"14390100","The Sisterhood of the Traveling Pants","1470119","The Sisterhood of the Traveling Pants","2005-10-11","","Warner Home Video"
"14420100","Fracture","10220119","Fracture","2007-08-14","","New Line Home Video"
"14480100","Little Shop of Horrors","66340119","Little Shop of Horrors","1992-04-01","Regular","Warner Home Video"
"14500100","Stardust","11630119","Stardust","2007-12-18","","Paramount Home Video"
"14570100","Gridiron Gang","5780119","Gridiron Gang","2007-01-16","","Sony Pictures Home Entertainment"
"14590100","Last Holiday","2540119","Last Holiday","2006-05-02","Regular","Paramount Home Video"
"14600100","Pride & Prejudice","1620119","Pride and Prejudice","2006-02-28","","Universal Home Entertainment"
"14600100","Pride & Prejudice","51830119","Pride and Prejudice (2005)","2006-02-28","Regular","Universal Home Entertainment"
"14650100","Meet the Spartans","16580119","Meet the Spartans","2008-06-03","Regular","Fox Home Entertainment"
"14700100","10 Things I Hate About You","61380119","10 Things I Hate About You","2010-01-05","Regular","Walt Disney Home Entertainment"
"14710100","The Original Kings of Comedy","259470119","The Original Kings of Comedy","2001-02-27","Regular","Paramount Home Video"
"14730100","Treasure Planet","67330119","Treasure Planet","2003-04-29","Regular","Walt Disney Home Entertainment"
"14750100","Urban Legend","18270119","Urban Legend","1999-02-23","Regular","Sony Pictures Home Entertainment"
"14760100","Harold & Kumar Escape from Guantanamo Bay","18850119","Harold & Kumar Escape from Guantanamo Bay","2008-07-29","","New Line Home Video"
"14790100","The Terminator","28330119","The Terminator","1997-09-03","Regular","Image Entertainment/ThinkFilm"
"14830100","Showtime","20090119","Showtime","2002-08-13","","Warner Home Video"
"14860100","First Sunday","15900119","First Sunday","2008-05-06","Regular","Sony Pictures Home Entertainment"
"14870100","Jeepers Creepers","13820119","Jeepers Creepers","2002-01-08","Regular","MGM Video"
